ID,Nisba,Arabic Nisba
1401,Bānʿamarī,بانعمري
1402,Banyūgī,بنيوگي
1403,Būtilimītī (Boutilimit: waṭanan),بوتلميتي
1404,Būḥubbaynī,بوحبيني
1405,Būmayjī,بوميجي
1406,Dankarī,دنكري
1407,Dmaysī,دميسي
1408,Dulaymī,دليمي
1409,Fāḍīlī,فاضلي
1411,Ghawātī,غواتي
1412,Ghurbī,غربي
1413,Gulālī,گلالي
1414,Gunānī,گناني
1415,Ḥarshī,حرشي
1416,Ḥijjājī,حجاجي
1417,Ḥubbaynī,حبيني
1418,Ibrāhīmī,إبراهيمي
1419,Idabbaʿmrī,إدبعمري
1420,Idagbāllī,إدكبالي
1421,Idagfūdī,إدگفودي
1422,Idakūjī,إدكوجي
1423,Idakwūdyī,إدَكُّودِي
1424,Idāshfaghī,إداشفغي
1425,Idawdanyuqbī,إدودنيعقبي
1426,Idayllbī,إيديلبي
1427,Idayllkī,إيديلكي
1428,Ikhwāwī,إخواوي
1429,Ikumlaylī,إيكمليلي
1430,Intishāʾī,إنتشائي
1431,Ishugānī,إشگاني
1432,Jummānī,جماني
1433,Kayhaydī,
1434,Khājīlī,خاجيلي
1435,Khawāwī,
1436,Lamḥājībī,لمحاجيبي
1438,Mubārikī,مباركي
1439,Muḥanḍnallī,محنضني
1440,Mūsānnī,موساني
1441,Mūsawī,موسوي
1442,Muslimī,مسلمني
1443,Najmurī,نجمري
1444,Nizārī,نزاري
1445,Rakkūnī,ركوني
1446,Ramẓānī,رمظاني
1447,Ruqaybī,رقيبي
1449,Saydāwī,سيداوي
1450,Shuqrawī,شقروي
1451,Sī,سي
1453,Ṣū,صو
1454,Subākī,سُباكي
1455,Sūninkī,سونينكي
1456,Tāgnītī,تاكنيتي
1457,Ṭalābī,طلابي
1458,Tāmglāwī,تامكلاوي
1459,Tiknī,تكني
1461,Tmaddakī,تمدكي
1462,Turkuzī,تركزي
1463,Wādnūnī,وادنوني
1464,Wasrī,وسري
1465,Wulufī,ولووف
