ID,Parent ID,Subject,Arabic Subject
319,,"jurisprudence: adjudication: coercion, use of",فقه: قضاء:  اكراه
320,,jurisprudence: transactions: sales: surety,فقه: معاملات: بيوع: ضمان
322,,"jurisprudence: marriage: concubines, treatment of",فقه: نكاح: سراري
323,,jurisprudence: sanctions: espionage,فقه: عقوبات: جاسوسية
325,,jurisprudence: duties: prayer: eclipse,فقه: عبادات: صلاة: كسوف
326,,politics: theory of government: rulers: & subjects,سياسة: أحكام سلطانية: رعاة ورعية
327,,jurisprudence: duties: prayer: leading prayer,فقه: عبادات: صلاة: إمامة
328,,jurisprudence: duties: prayer: & funerals,فقه: عبادات: صلاة: الجنازة
329,,politics: theory of government: imamate,سياسة: أحكام سلطانية: إمامة
330,,jurisprudence: duties: prayer: & funerals (for suicide victims),فقه: عبادات: صلاة: الجنازة (المنتحر)
331,,jurisprudence: problems: grave digging,فقه: مسائل: نبش القبور
332,,"jurisprudence: sanctions: violence, use of",فقه: عقوبات: عنف
333,,"jurisprudence: duties: jihad: booty, slave women",فقه: عبادات: جهاد: جزية  أنفال، ايماء
334,,jurisprudence: principles: law-schools,فقه: أصول: مذاهب
335,,jurisprudence: duties: prayer: performance,فقه: عبادات: صلاة: أداء
336,,jurisprudence: problems: rulers: & judicary,فقه: مسائل: ملوك وقضاة
337,,belief: Prophet Muhammad: companions,عقيدة: النبي محمد: صحابة
338,,biography: collective: the eminent,تراجم: جماعية: أعيان
339,,belief: treatment of People of the Book,عقيدة: معاملة أهل الكتاب
340,,jurisprudence: lawful & unlawful: dress,فقه: الحلال والحرام: لباس
341,,jurisprudence: problems: drumming / fasting / ablution,فقه: مسائل: دفاف / صوم / وضوء
343,,jurisprudence: transactions: striking coin,فقه: معالملات: صك النقود
346,,belief: theology: death: resurrection,عقيدة: توحيد: الموت: بعث
347,,genealogy: pre-Islamic,أنساب: قحطان
348,,Arabic language: phonetics: articulation,لغة عربية: صوتيات: مخارج الحروف
349,,jurisprudence: duties: prayer: timing,فقه: عبادات: صلاة: أوقات
350,,jurisprudence: divorce: in anger,فقه: طلاق: وصف طلاق الغضبان
351,,Qurʾan / hadith: differences between,قرآن / حديث: أوجه الاختلاف
352,,literature: prosody: maqāmāt / rhyme,أدب: عروض: مقامات
353,,Arabic language: diverse,لغة عربية: متعدد
354,,belief / Sufism: adherence to Sunna,عقيدة / تصوف: اعتصام بالسنة
355,,jurisprudence: duties: zakat (cash),فقه: عبادات: زكاة (أوراق نقدية)
356,,jurisprudence: duties: prayer: supplication,فقه: عبادات: صلاة: دعاء
357,,jurisprudence: adjudication: rulers & subjects,فقه: قضاء: سلطانية ورعية
358,,jurisprudence: problems: organ transplant,فقه: مسائل: زرع الأعضاء
359,,jurisprudence: duties: prayer: call to prayer,فقه: عبادات: صلاة: أذان واقامة
360,,jurisprudence: adjudication: testimony,فقه: قضاء: شهادة
362,,biography: collective: the eminent: Mauritanians,تراجم: جماعية: أعيان: موريتانيين
363,,history: Mauritania: Trarza,تاريخ: موريتانية: ترارزة
365,,jurisprudence: marriage: secret,فقه: نكاح: السر
366,,jurisprudence: marriage: temporary,فقه: نكاح: متعة
368,,jurisprudence: duties: purification: blood /  menstration,فقه: عبادات: طهارة: دماء / حياض
369,,literature: parody / satire,أدب: هجاء/ رثاء
370,,Qurʾan: memorization,قرآن: تحفيظ
371,,jurisprudence: adjudication: complaint,فقه: قضاء:  مرافعة
373,,literature / Arabic language,أدب / لغة عربية
374,,politics: request: for protection,سياسة: طلبات: حماية
375,,jurisprudence: transactions: custody of children (orphans),فقه: معاملات: حضانة (يتامى)
376,,conduct: Islamic conventions,آداب: اسلامية
378,,social matters: solidarity,مجتمعية: تضامن
379,,economy: contracts,إقتصاد: عقود
380,,literature: ballad,أدب: قصص شعرية
381,,Prophet Muhammad: delegations,سيرة نبوية: بعثات
382,,jurisprudence: marriage: intercourse (limitations on),فقه: نكاح: جماع (موانع)
383,,history: Mauritania: allegiance (Awlad Abyiri),تاريخ: موريتانية: مبايعة
384,,politics: dissention,سياسة: نزاعات
386,,economy: assistance,إقتصاد: إعانة
388,,economy: assistance: debts,إقتصاد: إعانة: ديون
389,,literature: ancedotes: the Banu Dayman,أدب: نوادر: بني ديمان
390,,literature: conundrums,أدب: ألغاز
391,,Sufism: pseudo-Sufis,تصوف: دجالين
392,,literature: ikhwaniyyat (fraternal ties),أدب: اخوانيات
393,,politics: attestation,سياسة: شهادة
394,,literature: heroism,أدب: حماسة
395,,jurisprudence: lawful & unlawful: singing (& drumming),فقه: الحلال والحرام: غناء (ودفاف)
396,,Sufism: contemplation,تصوف: تدبر
399,,science: chemistry: gunpowder manufacture,علوم: كيمياء: صناعة البارود
400,,jurisprudence: adjudication: legal competence,فقه: قضاء: حجر
402,,"Sufism: dreams, interpretation of",تصوف: رؤية
404,,education: chain of authority & license,تربية: سلسلة اجازة
405,,science: astronomy: calendar: different types (among empires/nations),علوم: فلك: تقويم: اختلافات الامم
407,,esoteric sciences,باطنيات
408,,social matters,مجتمعية
410,,jurisprudence: lawful & unlawful: cemetary visitation,فقه: الحلال والحرام: زيارة القبور
411,,jurisprudence: marriage: ritual purity / prayer,فقه: نكاح: طهارة / صلاة
412,,jurisprudence: duties: zakat / prayer / marriage,فقه: عبادات: زكاة / صلاة / نكاح
413,,esoteric sciences: charms / talismans,باطنيات: رقي/ طلاسم
414,,Sufism: hagiography,تصوف: مناقب
415,,literature: folk tales,أدب: أقاصيص شعبية
416,,jurisprudence: transactions: sales: coercion in,فقه: معاملات: بيوع: مغصوب
417,,jurisprudence: divorce,فقه: طلاق
418,,biography: ʿAli b. al-ʿAbbas,تراجم: علي بن العباس
420,,jurisprudence: problems: surety / charity,فقه: مسائل: ضمان / صدقة
421,,jurisprudence:  transactions: sales: contracts with legally incompetent,فقه: معاملات: بيوع: عقود: حجر
422,,jurisprudence: marriage: oaths,فقه: نكاح: أيمان
423,,jurisprudence: duties: prayer: & travel,فقه: عبادات: صلاة: سفر
424,,jurisprudence: problems: surety / abortion,فقه: مسائل: ضمان / اجهاض
425,,jurisprudence: transactions: custody of children (financial responsibility),فقه: معاملات: حضانة (حجر)
426,,jurisprudence: sanctions: financial penalty,فقه: عقوبات: مالية
427,,"jurisprudence: transactions: debts, settlement of",فقه: معاملات: قضاء الحقوق
428,,Qurʾan / hadith: exegesis,قرآن / حديث: تفسير
429,,science: astronomy: calendar/calculating time,علوم: فلك: تقويم
430,,Qurʾan: invocation,قرآن: أدعية
431,,jurisprudence: transactions: wives / blood-money / charity,فقه: معاملات: نفقة / دية / صدقة
432,,jurisprudence: duties: prayer: dawn,فقه: عبادات: صلاة: الفجر
433,,biography: Ibn ʿArabi,تراجم: ابن عربي
434,,jurisprudence: duties: oaths / zakat,فقه: عبادات: أيمان / زكاة
435,,jurisprudence: duties: zakat / proof,فقه: عبادات: زكاة / حكم بالقرائن
436,,jurisprudence: transactions: retribution / blood money / theft,فقه: معاملات: قصاص / دية / حد السرقة
437,,jurisprudence: marriage: apostasy of partner,فقه: نكاح: ردة أحد الزوجين
438,,biography: Abu Ishaq,تراجم: أبو اسحاق
439,,politics: colonialism: French,سياسة: إستعمار: فرنسي
440,,jurisprudence: problems: supplication / sleep (regulations on),فقه: مسائل: دعاء / النوم
442,,literature: elegy: Sīdi al-Mukhtār al-Kuntī,أدب: رثاء: سيد المختار الكنتي
443,,literature: stories,أدب: قصص
445,,"literature: elegy: Sīdi al-Mukhtār al-Kuntī, wife of",أدب: رثاء: زوجة سيد المختار الكنتي
446,,jurisprudence: duties: purification / surety,فقه: عبادات: طهارة / ضمان
447,,Sufism: piety,تصوف: تقوى
448,,belief / jurisprudence,عقيدة / فقه
449,,biography: Imam Shafiʿi,تراجم: الامام الشافعي
450,,Sufism: origins,تصوف: نشأة
452,,hadith: sciences of: defense of sunna,حديث: علوم الحديث: دفاع عن السنة
454,,literature: stories: truth & falsehood,أدب: قصص: الحق والضلال
455,,literature: elegy: Hārūn b. Bāba (al-Abyayrī al-Intishāʾī),أدب: رثاء: هارون بن باب
456,,Qurʾan: sciences of: conundrums,قرآن: علوم القرآن: ألغاز
457,,belief: theology: Divine ordination (& trust in Allah),عقيدة: توحيد: قدر (وتوكل)
458,,Qurʾan: exegesis: astronomy,قرآن: تفسير: فلك
459,,jurisprudence: transactions: remuneration,فقه: معاملات: جعالة
460,,literature: patriotism,أدب: حب الوطن
461,,literature: riḥla / travel,أدب: رحلات
462,,literature: stories: natural phenomena,أدب: قصص: ظواهر طبيعية
463,,literature: study of: criticism,أدب: دراسة: نقد
464,,biography: Muhammmad ʿAbd b. Saʿid,تراجم: محمد عبد بن سعيد
465,,biography: Jidd b. Muhammad b. Maylud,تراجم: جد بن محمد بن ميلود
468,,jurisprudence: divorce: oath of repudiation,فقه: طلاق: ظهار
469,,jurisprudence: sanctions: retaliation (jihad),فقه: عقوبات: قصاص (الجراح)
471,,politics: allegiance (& condolence),سياسة: مبايعة (وتعزية)
472,,literature: humor,أدب: فكاهة
473,,jurisprudence: divorce: intention of,فقه: طلاق: نية
474,,jurisprudence: divorce: waiting period,فقه: طلاق: عدة
476,,jurisprudence: lawful & unlawful: food: hunting,فقه: الحلال والحرام: أكل: صيد
478,,jurisprudence: divorce: alimony,فقه: طلاق: نفقة
480,,jurisprudence: transactions: sales: commutative contract,فقه: معاملات: بيوع: سلم
481,,Qurʾan: exegesis: piety,قرآن: تفسير: تقوي
